name,location,distance,start_date,end_date,category,search_location,search_time
TMC AS EVRY HOMMES 30 -> 15/2,"A.S. EVRY, EVRY","15,5 km",19/déc/2022,20/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:45
TMC 13/18 filles 30/2 -> 15/4,"A.S. EVRY, EVRY","15,5 km",19/déc/2022,20/déc/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:45
TMC AS EVRY 11/12 ANS ET 13/14 ANS,"A.S. EVRY, EVRY","15,5 km",26/déc/2022,27/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:46
TMC ORANGE AS EVRY,"A.S. EVRY, EVRY","15,5 km",29/oct/2022,29/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:46
TMC AS EVRY 15/18 ANS 15/4 -> 15,"A.S. EVRY, EVRY","15,5 km",3/nov/2022,4/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:46
TMC AS EVRY HOMMES 15/2 -> 4/6,"A.S. EVRY, EVRY","15,5 km",22/déc/2022,23/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:46
TMC VERT AS EVRY,"A.S. EVRY, EVRY","15,5 km",18/déc/2022,18/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:46
"FH Marnes-la-Coquette TMC 15/16G, Messieurs, Dames","FOREST HILL (TC MEUDON), MARNES LA COQUETTE","15,6 km",11/nov/2022,13/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:46
Galaxie 8/10 ans Orange Garçons TC Vaucresson,"VAUCRESSON (TC), VAUCRESSON","15,8 km",26/oct/2022,27/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
TMC 4S CAV Toussaint,"VINCENNES C.A., PARIS","15,9 km",29/oct/2022,29/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
GALAXY VERT 8/10 ANS,"T.C. LE CHESNAY TRIANON, LE CHESNAY","16,0 km",19/nov/2022,20/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
Tournoi journée semaine et week end (9h - 14h),"T.C. GUYANCOURT, GUYANCOURT","16,1 km",9/janv/2023,3/févr/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
Tournoi journée semaine et week end (9h - 14h),"T.C. GUYANCOURT, GUYANCOURT","16,1 km",14/nov/2022,9/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
BRUYERES LE CHATEL AUTOMNE 2023 SM/SD NC A 0,"T.C. BRUYERES LE CHATEL, BRUYERES LE CHATEL","16,4 km",8/oct/2022,10/déc/2022,SD / DX / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
Tournoi Interne réservé aux memebres du polo,"POLO DE PARIS, PARIS 16","16,4 km",30/sept/2022,29/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:47
UM RUBIS POLO DE PARIS TMC jeune limité 30/1,"POLO DE PARIS, PARIS 16","16,4 km",31/oct/2022,4/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
UM RUBIS POLO DE PARIS TMC F limité 15/3,"POLO DE PARIS, PARIS 16","16,4 km",31/oct/2022,4/nov/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
UM RUBIS POLO DE PARIS TMC H limité 15/3,"POLO DE PARIS, PARIS 16","16,4 km",31/oct/2022,4/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
UM RUBIS POLO DE PARIS TMC F limité 30/3,"POLO DE PARIS, PARIS 16","16,4 km",1/nov/2022,1/nov/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
UM RUBIS POLO DE PARIS TMC H limité 30/3,"POLO DE PARIS, PARIS 16","16,4 km",1/nov/2022,1/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
Tournoi Interne,"POLO DE PARIS, PARIS 16","16,4 km",1/sept/2022,31/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
UM RUBIS POLO DE PARIS TMC H limité 3/6,"POLO DE PARIS, PARIS 16","16,4 km",31/oct/2022,4/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:48
UM RUBIS POLO DE PARIS TMC H limité 30,"POLO DE PARIS, PARIS 16","16,4 km",31/oct/2022,4/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:49
INTERNE,"RACING TENNIS CLUB DE JOINVILLE, PARIS","16,9 km",17/oct/2022,26/mars/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:49
Tournoi INTERNE - stage Toussaint,"BOIS DE BOULOGNE ASC, PARIS","17,0 km",24/oct/2022,28/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:49
TMC INTERNE - stage Toussaint,"BOIS DE BOULOGNE ASC, PARIS","17,0 km",24/oct/2022,28/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:51
TMC MESSIEURS 5/6 A 3/6,"BOIS DE BOULOGNE ASC, PARIS","17,0 km",26/oct/2022,28/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:51
Tournoi Interne Hiver du TCPJ,"JOINVILLE (T.C.P.), PARIS","17,2 km",7/nov/2022,28/févr/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:51
Tournoi Open de la Toussaint TCPJ,"JOINVILLE (T.C.P.), PARIS","17,2 km",23/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:51
TCSM Jeunes et Adultes Novembre,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",19/nov/2022,4/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:52
TMC orange Toussaint,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",1/nov/2022,1/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:52
TMC vert Toussaint 2022,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",2/nov/2022,3/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:52
TCSM Adultes et Jeunes Janvier,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",14/janv/2023,29/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:52
TCSM Adultes +45+55 Toussaint,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",22/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:52
Tournoi femmes Toussaint 2022,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",4/nov/2022,4/nov/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:52
TCSM Adultes Noël,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",17/déc/2022,1/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
TCSM Jeunes Noël,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",24/déc/2022,1/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
TCSM Jeunes Toussaint,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",29/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
TMC 17/18 de la Toussaint du TCSM,"TENNIS CLUB DE SAINT MAUR, SUCY EN BRIE","17,2 km",27/oct/2022,27/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
TOURNOI 15/16 ANS TOUSSAINT,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",22/oct/2022,30/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
"tournoi journée/ no w.e SM= NC..15/4, SD=NC..15/1","LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",7/nov/2022,25/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
tournoi journée/ no w.e SM= 15/3..0 SD=30..0,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",7/nov/2022,25/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:53
tmc en journée 5/6...3/6,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",5/déc/2022,9/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
Tournoi de la Toussaint,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",20/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
tmc 3/6...0 journée uniquement,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",7/nov/2022,11/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
TOURNOI DE NOËL,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",16/déc/2022,2/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
tmc 30...15/4 journée uniquement,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",7/nov/2022,11/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
"tmc journée SD=15/3..15/1, SM=30/3..30/1","LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",21/nov/2022,25/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
tournoi journée/ no w.e SM= 30/3 à 15/1- Séniors+,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",28/nov/2022,16/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:54
"Journée/ no w.e : SM=NC..15/4, SD=30/2..15/1","LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",5/déc/2022,16/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:55
tmc en journée 4 ème série,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",12/déc/2022,16/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:55
tmc en journée 30...15/3,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",28/nov/2022,2/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:55
tmc en journée 15/1..3/6 Simple Dames,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",28/nov/2022,2/déc/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:55
tmc en journée 15/3..15,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",14/nov/2022,18/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:55
tmc en journée 15..3/6,"LA CHATAIGNERAIE (TC), RUEIL MALMAISON","17,4 km",14/nov/2022,18/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:55
GALAXIE TENNIS MINORANGE,"A.S. MINORANGE, GUYANCOURT","17,4 km",8/janv/2023,8/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:57
open journee minorange,"A.S. MINORANGE, GUYANCOURT","17,4 km",13/janv/2023,31/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:58
GRAND PRIX DES JEUNES TOUSSAINT MINORANGE,"A.S. MINORANGE, GUYANCOURT","17,4 km",22/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:58
TOURNOI JOURNEE MINORANGE,"A.S. MINORANGE, GUYANCOURT","17,4 km",1/déc/2022,16/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:58
open noel minorange,"A.S. MINORANGE, GUYANCOURT","17,4 km",19/déc/2022,8/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:58
OPEN JEUNES NOEL MINORANGE,"A.S. MINORANGE, GUYANCOURT","17,4 km",17/déc/2022,2/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:58
OPEN MINORANGE OCTOBRE/NOVEMBRE,"A.S. MINORANGE, GUYANCOURT","17,4 km",21/oct/2022,27/nov/2022,DD / SD / DX / DM / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:58
TOURNOI INTERNE,"TC LA CELLE SAINT CLOUD, CELLE ST CLOUD (LA)","18,0 km",7/nov/2022,25/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
8-10 ans vert garçons,"ST CYR TC, ST CYR L ECOLE","18,0 km",18/déc/2022,19/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
TMC Messieurs 4ème série Voisins,"T.C. VOISINS LE BRETONNEUX, VOISINS LE BRETONNEUX","18,1 km",29/oct/2022,30/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
Tournoi Interne Adultes,"T.C. VOISINS LE BRETONNEUX, VOISINS LE BRETONNEUX","18,1 km",2/janv/2023,24/juin/2023,DD / SD / DX / DM / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
Tournoi Interne Jeunes,"T.C. VOISINS LE BRETONNEUX, VOISINS LE BRETONNEUX","18,1 km",2/janv/2023,24/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
Galaxie Vert,"T.C. VOISINS LE BRETONNEUX, VOISINS LE BRETONNEUX","18,1 km",27/oct/2022,28/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
TMC Dames 4ème Série Voisins,"T.C. VOISINS LE BRETONNEUX, VOISINS LE BRETONNEUX","18,1 km",29/oct/2022,30/oct/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
Tournoi Interne U.S.M. Rocquencourt,"U.S.M. ROCQUENCOURT, ROCQUENCOURT","18,2 km",22/oct/2022,25/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:13:59
TMC DAMES OCTOBRE ROSE,"T.C. BOUSSY-ST-ANTOINE, BOUSSY ST ANTOINE","18,3 km",30/oct/2022,30/oct/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
ESN interne 4eme série,"NANTERRE (ES), NANTERRE","18,4 km",17/oct/2022,17/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
"Galaxie vert ESN F et G, 30/4 - 15/5","NANTERRE (ES), NANTERRE","18,4 km",21/déc/2022,22/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
"TMC ESN NC - 30/1 en journée, en extérieurs","NANTERRE (ES), NANTERRE","18,4 km",14/nov/2022,18/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
"TMC ESN 30/2 - 15/3 en journée, en extérieurs","NANTERRE (ES), NANTERRE","18,4 km",7/nov/2022,11/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
TMC 15/16 ans garçons,"NANTERRE (ES), NANTERRE","18,4 km",19/déc/2022,20/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
TMC salésienne,"SALESIENNE DE PARIS 17EME, PARIS","18,8 km",29/oct/2022,30/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:00
Tournoi Orange et Tournoi Vert,"NEUILLY (AT), NEUILLY SUR SEINE","18,8 km",24/oct/2022,28/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:01
Tournoi NC 15/1 SUCY EN BRIE,"TENNIS DE SUCY EN BRIE, SUCY EN BRIE","18,9 km",18/déc/2022,8/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:01
Tournoi de SUCY EN BRIE,"TENNIS DE SUCY EN BRIE, SUCY EN BRIE","18,9 km",18/déc/2022,8/janv/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:01
TMC VERT 8/10 ANS (entre 12 et 16 joueurs),"A.S. LE PETIT SMASH, PUTEAUX","19,1 km",11/déc/2022,11/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:01
tournoi interne homme 2022 2ème phase,"RUEIL ATHLETIC CLUB, RUEIL MALMAISON","19,1 km",22/sept/2022,30/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:01
TMC 13/14 Filles Rac tennis,"RUEIL ATHLETIC CLUB, RUEIL MALMAISON","19,1 km",27/déc/2022,29/déc/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:01
Tournoi interne femme,"RUEIL ATHLETIC CLUB, RUEIL MALMAISON","19,1 km",31/oct/2022,7/mai/2023,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:02
tournoi jeune Rac tennis,"RUEIL ATHLETIC CLUB, RUEIL MALMAISON","19,1 km",18/déc/2022,24/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:02
Tournoi interne 4ème serie H,"RUEIL ATHLETIC CLUB, RUEIL MALMAISON","19,1 km",31/oct/2022,30/avr/2023,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:04
TMC 11/12 ans G,"RUEIL ATHLETIC CLUB, RUEIL MALMAISON","19,1 km",25/oct/2022,27/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:04
Tournoi U10 Vert Poules + Tableau final,"CD HAUTS DE SEINE, RUEIL MALMAISON","19,1 km",31/oct/2022,1/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:04
Tournoi U10 Vert Poules + Tableau final,"CD HAUTS DE SEINE, RUEIL MALMAISON","19,1 km",5/nov/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
Tournoi U10 Vert Poules uniquement,"CD HAUTS DE SEINE, RUEIL MALMAISON","19,1 km",29/oct/2022,29/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
Tournoi U10 Orange Poules uniquement,"CD HAUTS DE SEINE, RUEIL MALMAISON","19,1 km",30/oct/2022,30/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
Tournoi U10 Orange Poules uniquement,"CD HAUTS DE SEINE, RUEIL MALMAISON","19,1 km",2/nov/2022,2/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
TMC U12 Garçons de 30/1 à 15/4,"CD HAUTS DE SEINE, RUEIL MALMAISON","19,1 km",3/nov/2022,4/nov/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
TMC orange 8/10ans,"TC VILLECRESNES, VILLECRESNES","19,3 km",11/déc/2022,11/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
Tournoi Interne TC Villecresnes,"TC VILLECRESNES, VILLECRESNES","19,3 km",30/sept/2022,1/mai/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:05
TOURNOI INTERNE AUTOMNE,"BOUGIVAL TENNIS CLUB EN SEINE, BOUGIVAL","19,3 km",1/oct/2022,17/déc/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:06
8/10 ANS VERT GARÇONS,"T.C. IGNYMONTAIN, MONTIGNY LE BRETONNEUX","19,3 km",18/déc/2022,18/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:06
Tournoi interne adultes hommes femmes TCI,"T.C. IGNYMONTAIN, MONTIGNY LE BRETONNEUX","19,3 km",24/oct/2022,18/juin/2023,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:06
FH Nanterre - Toussaint 2022 Formule Slice,"HAUTS DE SEINE (ASTC), NANTERRE","19,3 km",30/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:06
FH Nanterre - Toussaint 2022 Senior +,"HAUTS DE SEINE (ASTC), NANTERRE","19,3 km",22/oct/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:06
FH Nanterre- Toussaint 2022 Formule Slice,"HAUTS DE SEINE (ASTC), NANTERRE","19,3 km",22/oct/2022,29/oct/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:06
TMC 11-12 ans Garçons - 30/4 à 30,"T.C. ST GERMAIN LES CORBEIL, ST GERMAIN LES CORBEI...","19,4 km",27/oct/2022,28/oct/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:07
TMC 11-14 ans 15/5 à 15/2,"T.C. ST GERMAIN LES CORBEIL, ST GERMAIN LES CORBEI...","19,4 km",17/déc/2022,18/déc/2022,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:07
TMC 13-14 ans Filles - 30 à 15/3,"T.C. ST GERMAIN LES CORBEIL, ST GERMAIN LES CORBEI...","19,4 km",20/déc/2022,21/déc/2022,SD,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:07
TMC Vert - Mixte - 8 -10 ans NC -30/4,"T.C. ST GERMAIN LES CORBEIL, ST GERMAIN LES CORBEI...","19,4 km",6/nov/2022,6/nov/2022,SD / SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:07
tournoi interne,"T.C. ST MAURICE MONTCOURONNE, ST MAURICE MONTCOURO...","19,4 km",24/sept/2022,29/janv/2023,SM,"Massy, 91, Essonne, Île-de-France",2022-10-27 17:14:07
